subject_id,n_sessions,n_units,n_trials,early_adjusted,early_raw,early_total,late_adjusted,late_adjustment_change,late_minus_early_adjusted,late_minus_early_raw,late_minus_early_total,late_raw,late_total
614547,1,767,111,0.04012353219206018,0.07220096841138032,0.05179486011004464,0.007685688808116765,-0.09559450702323738,-0.03243784338394341,0.08975149984854697,0.051485335721309505,0.1619524682599273,0.10328019583135414
614608,2,2426,247,0.008089405039202281,0.05542280960521228,0.033606284718008056,0.027330169147040603,-0.1292389477732513,0.019240764107838322,0.15143493886692064,0.12296283220228382,0.20685774847213292,0.15656911692029188
615048,2,2132,204,0.009947970547756231,0.019343191020272085,0.019274177774205755,0.024295176726939448,-0.050732379116627424,0.014347206179183218,0.09947418802071836,0.05575337806936112,0.11881737904099043,0.07502755584356688
615564,2,2035,170,0.01866554134721096,0.056702050812691904,0.04249005727884158,0.04309292496635115,-0.15262591896560745,0.024427383619140194,0.19730088919108718,0.153228786653117,0.2540029400037791,0.1957188439319586
623319,2,1597,176,0.0022966875201756286,-0.0022854118861894996,0.0037395877905089716,0.06120654101470285,-0.14900126912575473,0.05890985349452722,0.39429970071330867,0.20646822234994863,0.3920142888271192,0.21020781014045758
623322,3,2399,317,0.025417392633852006,0.04756369293126028,0.0656409812291278,0.05447642460994251,-0.12857243393119447,0.02905903197609051,0.08200568818155247,0.11740787731200918,0.12956938111281277,0.18304885854113695
626279,1,896,101,0.014345704053896773,0.05121109222795781,0.03337280355582638,0.059641551929756,-0.1090740587301097,0.04529584787585923,0.13947386044229054,0.13534280710403934,0.19068495267024835,0.1687156106598657
632295,2,1880,184,0.017978860308224317,0.0628592318708197,0.03355135409239857,0.04064860518594141,-0.13777230803195656,0.022669744877717092,0.19716603271922362,0.14486955912549937,0.2600252645900433,0.17842091321789796
638387,1,650,78,0.01672128079230196,0.03202429958143807,0.03301755239892322,0.02361149694966392,-0.12013100260618503,0.006890216157361958,0.16570589695589275,0.11072494715692573,0.19773019653733082,0.14374249955584895
640887,2,1768,236,0.01086748349946235,0.07323574942795785,0.04511217976171446,-0.0046406336123925775,-0.26800873562465677,-0.015508117111854928,0.2541153721467827,0.21825592225054974,0.32735112157474056,0.2633681020122642
640890,2,2082,232,0.015185190793291637,0.07144346826259532,0.06972981284881456,0.05027169737035489,-0.1922608051331322,0.03508650657706325,0.1523758133249196,0.17280268965467255,0.2238192815875149,0.2425325025034871
642504,3,2035,336,0.006277993373225539,0.0372744000414047,0.02195691005719296,0.07385837564295604,-0.26206948928523416,0.0675803822697305,0.4218905990313564,0.3139709548709972,0.45916499907276115,0.3359278649281902
