table_id,table_path,column_name,column_requirement,expected_logical_dtype,n_sources_audited,n_sources_present,n_sources_missing_or_unread,n_sources_compatible,n_sources_incompatible,n_sources_read_error,n_schema_variants,schema_variant_sha256s,observed_physical_dtypes,field_audit_status
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,timeseries,unexpected,,36,36,0,0,36,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(Object),dtype_incompatible
task_image_presentations,/intervals/image-set-im005_r_presentations,active,required,boolean,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,duration,unexpected,,17,17,0,0,17,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,dtype_incompatible
task_image_presentations,/intervals/image-set-im005_r_presentations,end_frame,unexpected,,17,17,0,0,17,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,dtype_incompatible
task_image_presentations,/intervals/image-set-im005_r_presentations,flashes_since_change,required,numeric,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,id,required,integer,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,image_name,required,string,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,is_change,required,boolean,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,is_image_novel,required,boolean,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,omitted,required,boolean,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,rewarded,required,boolean,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,start_frame,required,integer,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,start_time,required,numeric,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,stimulus_block,required,integer,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,stimulus_name,optional,string,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,stop_time,required,numeric,17,17,0,17,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im005_r_presentations,tags,unexpected,,17,17,0,0,17,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(String),dtype_incompatible
task_image_presentations,/intervals/image-set-im005_r_presentations,timeseries,unexpected,,17,17,0,0,17,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(Object),dtype_incompatible
task_image_presentations,/intervals/image-set-im087_r_presentations,active,required,boolean,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,duration,unexpected,,14,14,0,0,14,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,dtype_incompatible
task_image_presentations,/intervals/image-set-im087_r_presentations,end_frame,unexpected,,14,14,0,0,14,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,dtype_incompatible
task_image_presentations,/intervals/image-set-im087_r_presentations,flashes_since_change,required,numeric,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,id,required,integer,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,image_name,required,string,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,is_change,required,boolean,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,is_image_novel,required,boolean,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,omitted,required,boolean,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,rewarded,required,boolean,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,start_frame,required,integer,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,start_time,required,numeric,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,stimulus_block,required,integer,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,stimulus_name,optional,string,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,stop_time,required,numeric,14,14,0,14,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im087_r_presentations,tags,unexpected,,14,14,0,0,14,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(String),dtype_incompatible
task_image_presentations,/intervals/image-set-im087_r_presentations,timeseries,unexpected,,14,14,0,0,14,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(Object),dtype_incompatible
task_image_presentations,/intervals/image-set-im104_r_presentations,active,required,boolean,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im104_r_presentations,duration,unexpected,,16,16,0,0,16,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,dtype_incompatible
task_image_presentations,/intervals/image-set-im104_r_presentations,end_frame,unexpected,,16,16,0,0,16,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,dtype_incompatible
task_image_presentations,/intervals/image-set-im104_r_presentations,flashes_since_change,required,numeric,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
